u-g,g-r,r-i,i-z,class
0.49099999999999966,-0.13000000000000256,-0.21099999999999852,-0.24399999999999977,wd
0.1479999999999997,0.3390000000000022,0.3069999999999986,0.30900000000000105,qso
0.35999999999999943,-0.03900000000000148,-0.1819999999999986,0.11200000000000188,wd
0.10200000000000031,-0.32800000000000296,-0.14199999999999946,0.15600000000000236,wd
0.21000000000000085,-0.2680000000000007,-0.22300000000000253,-0.30299999999999727,wd
0.5570000000000022,-0.08100000000000307,-0.17499999999999716,-0.267000000000003,wd
0.10099999999999909,0.4939999999999998,0.33200000000000074,0.1999999999999993,wd
0.18700000000000117,-0.19399999999999906,-0.2610000000000028,0.054000000000002046,wd
0.49299999999999855,0.0020000000000024443,0.3059999999999974,0.2680000000000007,qso
0.09699999999999775,-0.03399999999999892,0.2289999999999992,0.13899999999999935,qso
0.09700000000000131,-0.30700000000000216,-0.31599999999999895,-0.13700000000000045,wd
0.25400000000000134,0.05600000000000094,0.04399999999999693,0.16400000000000148,qso
0.20200000000000173,0.0990000000000002,0.11799999999999855,0.2240000000000002,qso
-0.013999999999999346,0.3490000000000002,0.134999999999998,0.028000000000002245,qso
0.1960000000000015,0.01899999999999835,0.1479999999999997,-0.038000000000000256,qso
1.1005459999999978,0.3918340000000029,0.1439099999999982,0.044494000000000256,star
0.09700000000000131,0.13799999999999812,0.19000000000000128,-0.018000000000000682,qso
0.24299999999999855,0.010000000000001563,0.23300000000000054,0.3460000000000001,qso
-0.08599999999999852,-0.33500000000000085,-0.254999999999999,-0.1509999999999998,wd
2.593329999999998,1.120631000000003,0.45632499999999787,0.2072130000000012,star
2.516309999999997,1.3233010000000007,0.6726070000000011,0.3508879999999994,star
0.9565889999999975,0.32818700000000334,0.10462999999999667,0.044714000000002585,star
0.12900000000000134,0.27199999999999847,0.11600000000000321,-0.03100000000000236,qso
0.24600000000000222,-0.05100000000000193,-0.1280000000000001,-0.652000000000001,wd
0.5410000000000004,-0.15700000000000003,-0.1509999999999998,-0.1960000000000015,wd
0.5410000000000004,0.05100000000000193,0.02499999999999858,0.2579999999999991,qso
-0.2809999999999988,-0.45700000000000074,-0.38000000000000256,-0.2959999999999994,wd
0.06400000000000006,0.2950000000000017,0.10999999999999943,0.029999999999997584,qso
1.3246490000000009,0.47692400000000035,0.16296700000000008,0.02274599999999971,star
0.05799999999999983,-0.28999999999999915,-0.20899999999999963,-0.23100000000000165,wd
